"Id","ensembl_gene_id","module","gene_symbol","organ","MM.pval","deseq2_sum.pval","geneID","is.hub","Label","hub_rank","log.MM","random_ranks"
"86","ENSMUSG00000097099","orange","Gm9917","muscle",9.0791659447435e-5,5.415216891320317e-5,"Gm9917",FALSE,"",1,4.0419540459979535,62
"68","ENSMUSG00000030516","orange","Tjp1","muscle",1.237200723566125e-4,0.035802947535250075,"Tjp1",FALSE,"",1,3.907559834675419,100
"71","ENSMUSG00000051451","orange","Crebzf","muscle",1.2445942123628725e-4,0.019675929764702702,"Crebzf",FALSE,"",1,3.9049722229118182,72
"156","ENSMUSG00000024743","orange","Syt7","muscle",1.2784440868116658e-4,0.020177157870847985,"Syt7",FALSE,"",1,3.8933182612396475,143
"137","ENSMUSG00000075254","orange","Heg1","muscle",1.3022016403466246e-4,0.0014900628564642612,"Heg1",FALSE,"",1,3.8853217619202858,123
"45","ENSMUSG00000040795","orange","Iqcc","muscle",1.545093138993486e-4,5.29062274441687e-4,"Iqcc",FALSE,"",1,3.811045335959709,38
"163","ENSMUSG00000045180","orange","Shroom2","muscle",1.619018971469331e-4,0.0018753689837065046,"Shroom2",FALSE,"",1,3.7907480622063723,5
"55","ENSMUSG00000004633","orange","Chn2","muscle",1.9068297113063258e-4,0.0010832055272065977,"Chn2",FALSE,"",1,3.719688089723882,115
"31","ENSMUSG00000045327","orange","6330549D23Rik","muscle",1.925252840314357e-4,0.06842136896996404,"6330549D23Rik",FALSE,"",1,3.715512227224252,42
"62","ENSMUSG00000033082","orange","Clec1a","muscle",2.084065176512968e-4,0.04016477540537311,"Clec1a",FALSE,"",1,3.681088703147315,45
"108","ENSMUSG00000062563","orange","Cys1","muscle",2.2257043689508479e-4,4.0524153001181225e-4,"Cys1",FALSE,"",1,3.6525325216993183,99
"74","ENSMUSG00000036111","orange","Lmo1","muscle",2.3733216802143738e-4,0.11522538198226946,"Lmo1",FALSE,"",1,3.6246433934835163,136
"1","ENSMUSG00000025931","orange","Paqr8","muscle",4.28050318483929e-4,0.11044877727735777,"Paqr8",FALSE,"",1,3.368505175483521,102
"150","ENSMUSG00000117919","orange","Gm41717","muscle",4.748415571033076e-4,0.009242683972399102,"Gm41717",FALSE,"",1,3.323451279542919,126
"52","ENSMUSG00000087336","orange","Gm15860","muscle",5.55483773675724e-4,0.2079412575470802,"Gm15860",FALSE,"",1,3.255328622782554,25
"107","ENSMUSG00000039321","orange","Uts2r","muscle",5.735243481484209e-4,0.025806135778717113,"Uts2r",FALSE,"",1,3.241448140025934,119
"84","ENSMUSG00000041361","orange","Myzap","muscle",9.890615463291716e-4,0.0388037692049468,"Myzap",FALSE,"",1,3.004776682720835,58
"91","ENSMUSG00000114004","orange","Gm48552","muscle",0.0010254024802298133,0.6455583377617662,"Gm48552",FALSE,"",1,2.9891056364286612,43
"49","ENSMUSG00000029352","orange","Crybb3","muscle",0.001076904968805756,0.0030131876352444947,"Crybb3",FALSE,"",1,2.967822619212894,122
"10","ENSMUSG00000009633","orange","G0s2","muscle",0.0011038717068419023,3.3738721165069884e-4,"G0s2",FALSE,"",1,2.9570813978461747,133
"69","ENSMUSG00000030551","orange","Nr2f2","muscle",0.0014990716004877793,6.8342505945209e-5,"Nr2f2",FALSE,"",1,2.82417762335311,65
"27","ENSMUSG00000027536","orange","Chmp4c","muscle",0.0036100260861069823,0.05724842862677865,"Chmp4c",FALSE,"",1,2.4424896598640418,60
"14","ENSMUSG00000026873","orange","Phf19","muscle",0.008025246489231119,0.0011209547083625322,"Phf19",FALSE,"",1,2.0955416196995458,98
"63","ENSMUSG00000030259","orange","Rassf8","muscle",0.011897294453829903,0.5739121842956691,"Rassf8",FALSE,"",1,1.9245517896465463,121
"41","ENSMUSG00000045917","orange","Tmem268","muscle",0.012720881993214188,0.5435214348957462,"Tmem268",FALSE,"",1,1.895482776147776,130
"4","ENSMUSG00000055866","orange","Per2","muscle",0.013605727637531834,1.9540301647687143e-4,"Per2",FALSE,"",1,1.8662782270915272,35
"136","ENSMUSG00000115219","orange","Eef1akmt4","muscle",0.01389544727622696,0.20039423348925015,"Eef1akmt4",FALSE,"",1,1.8571274692917261,36
"140","ENSMUSG00000037196","orange","Pacrg","muscle",0.017773803361572273,0.10603126200834831,"Pacrg",FALSE,"",1,1.750219628908184,26
"98","ENSMUSG00000070407","orange","Hs3st3b1","muscle",0.04142604403503709,0.09412239918528796,"Hs3st3b1",FALSE,"",1,1.3827265375147364,44
